prospect_id,referrer_member_id,contact_id,annual_meeting_id,first_touch,interest_score,note
PROZ1EL4HN,M040,P00352,AM-2025,2025-06-25T16:27:00,5,Wants case study
PRORX6P72K,M040,P00414,AM-2025,2025-06-25T15:08:00,4,Follow up after event
PROH1CXKSL,M040,P00412,AM-2024,2025-06-25T11:55:00,3,Follow up after event
PRO4RSN8E5,M040,P00319,AM-2024,2025-06-25T14:18:00,5,Referred by current member
PROPUCGSH4,M040,P00295,AM-2025,2025-06-25T10:53:00,2,Interested in certification track
PRORVAI0XQ,M040,P00186,AM-2025,2025-06-25T18:44:00,1,Referred by current member
PROMD01P13,M040,P00259,AM-2025,2025-06-25T20:48:00,1,Interested in demo
PRO8B7Q10D,M040,P00306,AM-2025,2025-06-25T19:00:00,4,Wants to host a chapter event
PROLIP0YMP,M040,P00349,AM-2025,2025-06-25T12:09:00,1,Wants case study
PRO1W9ZQVU,M040,P00060,AM-2025,2025-06-25T13:52:00,2,Considering upgrade to Enterprise
PRO238YSOZ,M040,P00174,AM-2025,2025-06-25T20:04:00,4,Referred by current member
PRO0NKB2PO,M040,P00255,AM-2025,2025-06-25T09:54:00,4,Wants case study
PRO6J01XVI,M040,P00378,AM-2025,2025-06-25T20:30:00,1,Wants case study
PRO2QHEDEO,M040,P00409,AM-2024,2025-06-25T10:44:00,4,Lapsed last year — re-engaging
PRO6X9W51P,M040,P00138,AM-2025,2025-06-25T15:42:00,4,Follow up after event
PROHHYLDNQ,M040,P00215,AM-2025,2025-06-25T15:48:00,3,Asked about pricing
PROXPM5IYQ,M040,P00022,AM-2024,2025-06-25T12:44:00,1,Follow up after event
PRO9DTSJDW,M040,P00005,AM-2024,2025-06-25T14:36:00,4,Asked about pricing
PROQ7MWVOP,M040,P00087,AM-2025,2025-06-25T16:14:00,1,Wants case study
PROTY8QVOQ,M040,P00212,AM-2024,2025-06-25T09:12:00,5,Asked about pricing
PROUCYS9RW,M040,P00229,AM-2025,2025-06-25T12:39:00,1,Asked about corporate tier
PROUZNOMI2,M040,P00148,AM-2025,2025-06-25T09:41:00,1,Interested in demo
PROPATWKLN,M040,P00368,AM-2025,2025-06-25T13:28:00,4,Interested in demo
PRO3DYGZBD,M040,P00183,AM-2024,2025-06-25T14:10:00,3,Wants case study
PRO02VEEDS,M040,P00354,AM-2025,2025-06-25T12:52:00,1,Interested in demo
PROJG5NU3Y,M040,P00013,AM-2025,2025-06-25T11:40:00,4,Wants case study
PRO4L3XBNZ,M040,P00369,AM-2025,2025-06-25T18:17:00,4,Follow up after event
PRO249M6A2,M040,P00226,AM-2024,2025-06-25T10:29:00,5,Requested member-only research
PROPCW2II1,M040,P00254,AM-2025,2025-06-25T18:01:00,3,Asked about pricing
PROL7JKQ53,M040,P00073,AM-2025,2025-06-25T15:34:00,3,Interested in demo
PROACNWFB4,M040,P00299,AM-2025,2025-06-25T12:10:00,2,Interested in demo
PRODCKUXKS,M040,P00364,AM-2024,2025-06-25T14:40:00,3,Renewal candidate
PRODWA7HTG,M040,P00304,AM-2025,2025-06-25T16:35:00,4,Considering upgrade to Enterprise
PROX249QTM,M040,P00282,AM-2024,2025-06-25T13:55:00,3,Wants case study
PROC0LVJZR,M046,P00175,AM-2025,2025-06-25T14:17:00,5,Considering upgrade to Enterprise
PROAD6COYB,M046,P00126,AM-2025,2025-06-25T12:31:00,3,Interested in demo
PROPVVDS02,M046,P00204,AM-2024,2025-06-25T19:02:00,2,Follow up after event
PROGI2CD6D,M046,P00197,AM-2024,2025-06-25T14:57:00,4,Renewal candidate
PROE6ZZJQ8,M046,P00291,AM-2024,2025-06-25T10:46:00,3,Requested member-only research
PROTYWXFU2,M046,P00227,AM-2024,2025-06-25T15:22:00,3,Wants to host a chapter event
PROFZI3C65,M046,P00257,AM-2025,2025-06-25T09:24:00,1,Requested member-only research
PRO63K2UIY,M046,P00211,AM-2025,2025-06-25T16:04:00,3,
PRO4ZIPYNJ,M046,P00177,AM-2024,2025-06-25T17:59:00,2,Follow up after event
PRODJR99AX,M046,P00069,AM-2025,2025-06-25T11:21:00,3,Requested member-only research
PROUUGAN5X,M046,P00168,AM-2025,2025-06-25T10:21:00,4,Interested in demo
PRO596Y8KT,M046,P00180,AM-2025,2025-06-25T18:29:00,5,Asked about pricing
PRO6E0V5MQ,M046,P00327,AM-2024,2025-06-25T19:44:00,1,Interested in demo
PROT2IXC2R,M046,P00151,AM-2025,2025-06-25T15:44:00,4,Asked about pricing
PROAIP95ZJ,M046,P00091,AM-2025,2025-06-25T09:00:00,4,Interested in demo
PRONPZRLHQ,M046,P00132,AM-2025,2025-06-25T17:37:00,3,Asked about corporate tier
PROGQLMUHA,M046,P00106,AM-2024,2025-06-25T15:24:00,1,Asked about pricing
PROEWCFATG,M046,P00191,AM-2024,2025-06-25T13:45:00,5,Follow up after event
PRO6FY3QUL,M046,P00155,AM-2024,2025-06-25T14:55:00,2,Follow up after event
PRODX6L0SX,M046,P00316,AM-2025,2025-06-25T14:33:00,5,Referred by current member
PROQ6TW1W8,M046,P00410,AM-2025,2025-06-25T10:54:00,3,Follow up after event
PRO0HY8S9Z,M046,P00419,AM-2025,2025-06-25T11:55:00,3,Lapsed last year — re-engaging
PRODRJOXWW,M046,P00406,AM-2025,2025-06-25T10:01:00,5,Wants case study
PROZ6WX50W,M046,P00261,AM-2025,2025-06-25T09:40:00,4,Renewal candidate
PROT7B8INJ,M046,P00092,AM-2025,2025-06-25T10:24:00,3,Wants to host a chapter event
PROPQ4EMVP,M046,P00341,AM-2024,2025-06-25T16:03:00,3,Wants case study
PROPNBH94P,M046,P00272,AM-2024,2025-06-25T12:47:00,3,Wants case study
PROUSZV9G6,M046,P00359,AM-2024,2025-06-25T16:33:00,4,Considering upgrade to Enterprise
PROKOU8I4X,M046,P00007,AM-2024,2025-06-25T11:26:00,4,Interested in demo
PROXLDC742,M046,P00334,AM-2025,2025-06-25T17:50:00,5,Interested in demo
PRO8BKI4G1,M046,P00210,AM-2025,2025-06-25T12:20:00,2,Follow up after event
PRO9EUJ1CY,M046,P00220,AM-2024,2025-06-25T13:23:00,5,Interested in demo
PRO1IUK5XS,M046,P00098,AM-2024,2025-06-25T16:34:00,1,Asked about pricing
PROB6AG6O5,M046,P00051,AM-2025,2025-06-25T13:50:00,3,Wants to host a chapter event
PROEUFJMXF,M046,P00235,AM-2025,2025-06-25T17:26:00,2,Wants case study
PRO4TUVJI0,M046,P00224,AM-2025,2025-06-25T09:40:00,5,Interested in demo
PRO690ZMQO,M046,P00264,AM-2025,2025-06-25T15:42:00,5,Follow up after event
PROH8XB9ZG,M046,P00401,AM-2025,2025-06-25T19:11:00,4,Follow up after event
PROZOR7XE4,M046,P00018,AM-2025,2025-06-25T18:16:00,4,Asked about pricing
PRO9TF9RF6,M046,P00356,AM-2024,2025-06-25T10:13:00,5,Interested in demo
PROGAE2VD5,M046,P00236,AM-2024,2025-06-25T11:57:00,5,Renewal candidate
PROVV4D600,M046,P00336,AM-2025,2025-06-25T18:39:00,4,Wants case study
PROYLPKAWU,M046,P00384,AM-2025,2025-06-25T09:49:00,4,Asked about corporate tier
PROEE1C9KV,M046,P00329,AM-2025,2025-06-25T18:04:00,3,Asked about corporate tier
PROVUUU9PL,M046,P00193,AM-2025,2025-06-25T19:49:00,4,Interested in demo
PROVHCHHAA,M046,P00292,AM-2025,2025-06-25T15:06:00,2,Follow up after event
PROA4NMZTL,M046,P00153,AM-2025,2025-06-25T11:33:00,2,Interested in demo
PROZ6BISJR,M046,P00052,AM-2025,2025-06-25T17:33:00,3,Asked about pricing
PROEP3ET3U,M046,P00046,AM-2025,2025-06-25T14:55:00,5,Requested member-only research
PRO29KRQ4W,M046,P00249,AM-2025,2025-06-25T18:23:00,4,Wants case study
PROSQP7ZZO,M046,P00196,AM-2025,2025-06-25T14:10:00,3,Asked about pricing
PROSI6PO05,M046,P00360,AM-2025,2025-06-25T09:29:00,4,Asked about pricing
PROUS3KC7H,M046,P00325,AM-2025,2025-06-25T19:09:00,4,Interested in demo
PRO0E8GDA3,M046,P00268,AM-2024,2025-06-25T13:08:00,4,Wants case study
PROL6Z9QF5,M046,P00242,AM-2024,2025-06-25T13:29:00,4,Interested in demo
PRO40JIALW,M046,P00209,AM-2024,2025-06-25T15:55:00,1,Interested in demo
PROA4EGNKH,M046,P00053,AM-2024,2025-06-25T12:29:00,1,Follow up after event
PROETKUZIE,M046,P00214,AM-2025,2025-06-25T17:47:00,5,Asked about pricing
PRO75T8B4X,M046,P00267,AM-2024,2025-06-25T18:35:00,5,Wants case study
PROE97PF6U,M046,P00311,AM-2024,2025-06-25T16:33:00,3,Renewal candidate
PROVJIKOXO,M046,P00023,AM-2024,2025-06-25T11:38:00,3,Interested in certification track
PROP2OJ6W0,M046,P00372,AM-2024,2025-06-25T17:55:00,4,Renewal candidate
PRO808MK54,M046,P00223,AM-2024,2025-06-25T10:26:00,4,Asked about pricing
PRO14FIJOT,M046,P00049,AM-2024,2025-06-25T16:51:00,4,Wants to host a chapter event
PROLEPYP77,M046,P00178,AM-2024,2025-06-25T17:11:00,4,Asked about pricing
PRO9YN2KQY,M046,P00043,AM-2024,2025-06-25T13:17:00,3,Asked about pricing
PROVFXCSR1,M046,P00397,AM-2025,2025-06-25T16:05:00,5,Interested in demo
PROJQ1DFTU,M046,P00349,AM-2025,2025-06-25T10:37:00,4,Asked about pricing
PRO379LXAM,M046,P00014,AM-2025,2025-06-25T20:40:00,5,Asked about pricing
PROE6T2HOM,M046,P00314,AM-2025,2025-06-25T13:14:00,5,
PROTHGZ7HI,M046,P00277,AM-2025,2025-06-25T11:26:00,5,Follow up after event
PROIPIXIJP,M046,P00147,AM-2025,2025-06-25T11:53:00,3,Interested in demo
PRODAYBR6W,M046,P00202,AM-2025,2025-06-25T14:13:00,1,Asked about pricing
PROVSMGSOO,M046,P00042,AM-2024,2025-06-25T19:30:00,5,Renewal candidate
PROSYR02QH,M046,P00084,AM-2025,2025-06-25T09:43:00,5,Renewal candidate
PRONKDG6Q4,M046,P00238,AM-2024,2025-06-25T16:31:00,3,Renewal candidate
PROG2B27JD,M046,P00233,AM-2025,2025-06-25T16:10:00,3,Follow up after event
PROIBA7T58,M046,P00050,AM-2025,2025-06-25T13:03:00,1,Follow up after event
PROJGJ97MR,M046,P00382,AM-2025,2025-06-25T12:10:00,5,Asked about pricing
PRONIS7W5H,M046,P00309,AM-2024,2025-06-25T17:39:00,4,Requested member-only research
PROU23PYYP,M046,P00166,AM-2025,2025-06-25T17:52:00,4,Wants case study
PRO59NYT4I,M046,P00013,AM-2025,2025-06-25T16:58:00,3,Asked about pricing
PRO2ZADFV1,M046,P00354,AM-2024,2025-06-25T14:52:00,4,Interested in certification track
PROVWPJMI3,M046,P00417,AM-2024,2025-06-25T15:30:00,2,Asked about pricing
PROTIKY57F,M046,P00399,AM-2025,2025-06-25T13:25:00,4,Interested in demo
PROGNZ6VFN,M046,P00134,AM-2025,2025-06-25T11:27:00,2,Interested in demo
PRO29YY49N,M046,P00086,AM-2024,2025-06-25T14:06:00,3,Asked about corporate tier
PROAX8WBB2,M046,P00400,AM-2024,2025-06-25T12:09:00,4,Asked about pricing
PRO2K6OY0U,M046,P00310,AM-2024,2025-06-25T18:13:00,2,Wants case study
PRO728JYHE,M046,P00391,AM-2025,2025-06-25T14:49:00,4,Lapsed last year — re-engaging
PROKL791M3,M046,P00167,AM-2024,2025-06-25T10:07:00,3,Wants case study
PROCMI4Q4R,M046,P00005,AM-2024,2025-06-25T15:21:00,3,Interested in certification track
PRODB5VU7H,M053,P00281,AM-2025,2025-06-25T11:37:00,3,Interested in certification track
PROHD0Z9BZ,M053,P00360,AM-2024,2025-06-25T12:26:00,2,
PRO4FRTVRZ,M053,P00402,AM-2024,2025-06-25T17:47:00,2,Lapsed last year — re-engaging
PROGNKUK5Q,M053,P00244,AM-2025,2025-06-25T11:15:00,5,Interested in certification track
PROQ742T1L,M053,P00195,AM-2024,2025-06-25T10:31:00,5,Follow up after event
PROMHX4GHS,M053,P00017,AM-2025,2025-06-25T12:29:00,5,Interested in demo
PRO9APHFV8,M053,P00329,AM-2024,2025-06-25T17:01:00,5,Interested in demo
PROZ48LG6V,M053,P00001,AM-2025,2025-06-25T11:30:00,4,Wants case study
PROEEENOX7,M053,P00098,AM-2025,2025-06-25T16:19:00,2,Wants to host a chapter event
PROONJAJ02,M053,P00311,AM-2025,2025-06-25T20:42:00,1,Asked about corporate tier
PROOGI9VOT,M053,P00154,AM-2024,2025-06-25T17:24:00,2,Asked about pricing
PROPP66KQH,M053,P00202,AM-2025,2025-06-25T11:19:00,4,Asked about pricing
PROAQQAFRR,M053,P00242,AM-2024,2025-06-25T14:10:00,1,Interested in certification track
PROLMDVHTZ,M053,P00328,AM-2025,2025-06-25T09:14:00,4,Asked about pricing
PRO6O3I8WQ,M053,P00122,AM-2025,2025-06-25T13:20:00,4,Asked about pricing
PRO33HY5U5,M053,P00214,AM-2025,2025-06-25T09:48:00,1,Asked about corporate tier
PRODVQV552,M053,P00265,AM-2024,2025-06-25T13:48:00,3,Interested in demo
PROE4ZO4YS,M053,P00279,AM-2025,2025-06-25T09:19:00,4,Wants case study
PROY94I7QU,M053,P00258,AM-2025,2025-06-25T20:02:00,4,Interested in demo
PRO56L6LYF,M053,P00045,AM-2025,2025-06-25T19:53:00,5,Follow up after event
PRO9XN8E0X,M053,P00144,AM-2024,2025-06-25T09:17:00,1,Interested in demo
PROE9DWTE7,M053,P00379,AM-2025,2025-06-25T18:47:00,5,Asked about pricing
PROJFLBHRO,M053,P00117,AM-2025,2025-06-25T14:41:00,4,Requested member-only research
PRO6Y2JLM9,M053,P00342,AM-2025,2025-06-25T15:45:00,4,Asked about pricing
PROM0HB96L,M053,P00295,AM-2025,2025-06-25T13:50:00,4,Renewal candidate
PROH25ZO47,M053,P00068,AM-2025,2025-06-25T12:08:00,3,Wants case study
PROG92O0KC,M053,P00327,AM-2025,2025-06-25T17:45:00,4,Requested member-only research
PRO7G4FSPJ,M053,P00142,AM-2025,2025-06-25T11:55:00,5,Asked about corporate tier
PROQNGNTGL,M053,P00121,AM-2025,2025-06-25T17:59:00,5,Interested in certification track
PRORMBSMER,M053,P00313,AM-2025,2025-06-25T19:30:00,5,Interested in demo
PROV2X6QLP,M053,P00318,AM-2024,2025-06-25T17:57:00,4,Interested in demo
PROXOOSRJ7,M053,P00061,AM-2024,2025-06-25T09:59:00,5,Follow up after event
PRO7ZQJZPL,M053,P00090,AM-2024,2025-06-25T10:59:00,2,Wants case study
PROZ1FHWE5,M053,P00167,AM-2025,2025-06-25T09:55:00,4,Follow up after event
PROKOAQFH0,M053,P00225,AM-2024,2025-06-25T19:56:00,3,Follow up after event
PRO7IX509P,M053,P00193,AM-2025,2025-06-25T18:12:00,4,Lapsed last year — re-engaging
PRO8KYNKV8,M053,P00006,AM-2025,2025-06-25T09:58:00,4,Interested in demo
PROSEKE5C6,M053,P00134,AM-2025,2025-06-25T13:24:00,2,Interested in demo
PROBIB8T49,M053,P00128,AM-2024,2025-06-25T10:33:00,3,Asked about corporate tier
PROAZ2N61R,M053,P00323,AM-2024,2025-06-25T13:47:00,4,Asked about pricing
PROCTSGTCK,M053,P00224,AM-2024,2025-06-25T20:25:00,3,Interested in certification track
PROSE5H778,M053,P00300,AM-2025,2025-06-25T13:49:00,3,Follow up after event
PRO6XAAOW9,M053,P00203,AM-2025,2025-06-25T17:02:00,5,Asked about pricing
PRO3ATOC7X,M053,P00080,AM-2025,2025-06-25T19:57:00,3,Follow up after event
PROPJ0I2W0,M053,P00135,AM-2025,2025-06-25T19:52:00,5,Referred by current member
PROJSZA4CE,M053,P00363,AM-2024,2025-06-25T17:43:00,1,
PROZUT169S,M053,P00322,AM-2025,2025-06-25T09:12:00,3,Follow up after event
PRO9PVD26P,M053,P00306,AM-2024,2025-06-25T18:22:00,1,Wants case study
PROA52GIVX,M053,P00024,AM-2025,2025-06-25T13:42:00,5,Wants to host a chapter event
PROVJSI50L,M053,P00177,AM-2025,2025-06-25T18:07:00,2,Wants to host a chapter event
PROUCWWGU7,M053,P00410,AM-2025,2025-06-25T10:18:00,4,Wants case study
PROP2EZG1Z,M053,P00054,AM-2025,2025-06-25T19:17:00,2,Asked about pricing
PROEBV6K8H,M053,P00023,AM-2024,2025-06-25T12:19:00,4,Considering upgrade to Enterprise
PROTWXOANS,M053,P00186,AM-2025,2025-06-25T19:44:00,5,Considering upgrade to Enterprise
PROXXM2E5R,M053,P00387,AM-2024,2025-06-25T16:44:00,3,Asked about pricing
PROT9ECVII,M053,P00266,AM-2024,2025-06-25T17:18:00,4,Wants case study
PROR4N0PG1,M053,P00247,AM-2025,2025-06-25T12:20:00,5,Requested member-only research
PROAKNZGJ1,M053,P00370,AM-2025,2025-06-25T16:54:00,3,
PRO0T5I9EV,M053,P00339,AM-2024,2025-06-25T18:48:00,4,Wants to host a chapter event
PROJIDKL3A,M053,P00283,AM-2025,2025-06-25T17:34:00,3,Wants case study
PROLXRC3HW,M053,P00175,AM-2024,2025-06-25T11:47:00,4,Considering upgrade to Enterprise
PROUZT9ZTE,M053,P00105,AM-2025,2025-06-25T17:01:00,3,
PRO0QS5QWR,M053,P00419,AM-2024,2025-06-25T16:13:00,5,Asked about pricing
PROVL5YAHJ,M053,P00345,AM-2024,2025-06-25T10:40:00,2,Renewal candidate
PROV7Y8LGF,M053,P00228,AM-2025,2025-06-25T16:46:00,3,Asked about corporate tier
PROCVD44KF,M053,P00055,AM-2024,2025-06-25T17:45:00,3,Follow up after event
PROUL8DWI7,M053,P00317,AM-2024,2025-06-25T11:37:00,3,Interested in demo
PRO0SXLQTP,M053,P00199,AM-2025,2025-06-25T16:35:00,2,Interested in demo
PRO904KCIR,M053,P00156,AM-2024,2025-06-25T10:29:00,3,Follow up after event
PRO2NSRE1P,M053,P00059,AM-2025,2025-06-25T18:11:00,2,Wants case study
PRO0SP82U9,M053,P00399,AM-2025,2025-06-25T11:32:00,3,Wants case study
PROH003AFI,M053,P00012,AM-2025,2025-06-25T20:46:00,3,Wants case study
PROBF9C75J,M053,P00070,AM-2024,2025-06-25T17:31:00,5,
PRORMPA8XS,M053,P00240,AM-2025,2025-06-25T20:50:00,2,Follow up after event
PROHQPGOCZ,M053,P00140,AM-2025,2025-06-25T14:29:00,2,Wants case study
PRO9G28Y6H,M053,P00038,AM-2025,2025-06-25T20:57:00,5,Interested in demo
PRO5C4GTZ7,M053,P00102,AM-2025,2025-06-25T16:25:00,3,Lapsed last year — re-engaging
PROB7OS8GB,M053,P00094,AM-2025,2025-06-25T10:20:00,1,Considering upgrade to Enterprise
PROI4DYKBG,M053,P00096,AM-2025,2025-06-25T11:40:00,1,Asked about pricing
PROF7BXTV7,M053,P00369,AM-2024,2025-06-25T12:52:00,5,Asked about pricing
PROU3J9ZQH,M053,P00394,AM-2025,2025-06-25T17:21:00,2,Wants case study
PROLGE5DH6,M053,P00340,AM-2025,2025-06-25T18:13:00,3,Asked about corporate tier
PROMMZMNI6,M053,P00235,AM-2024,2025-06-25T17:15:00,4,Asked about corporate tier
PROJ040LUL,M026,P00065,AM-2025,2025-06-25T18:22:00,2,Wants case study
PRO8L5535O,M026,P00112,AM-2025,2025-06-25T19:32:00,5,Wants case study
PROPIRKN2L,M026,P00153,AM-2025,2025-06-25T15:22:00,3,Wants case study
PRO5JKTQE8,M026,P00405,AM-2025,2025-06-25T18:28:00,1,Asked about pricing
PROQ3RJO8I,M026,P00117,AM-2024,2025-06-25T17:36:00,2,Interested in demo
PROA47DMHT,M026,P00051,AM-2025,2025-06-25T20:01:00,4,Follow up after event
PROGFLQMJC,M026,P00187,AM-2025,2025-06-25T18:56:00,5,Asked about pricing
PROIB4GK9J,M026,P00119,AM-2024,2025-06-25T20:29:00,2,Interested in demo
PROF75RBYO,M026,P00106,AM-2025,2025-06-25T15:46:00,5,Wants case study
PROJFXSP1S,M026,P00208,AM-2025,2025-06-25T11:45:00,2,Interested in demo
PROW7QKQN7,M026,P00303,AM-2024,2025-06-25T19:07:00,1,Considering upgrade to Enterprise
PROHRXCDQD,M026,P00083,AM-2025,2025-06-25T13:39:00,4,Asked about pricing
PROTAEH22D,M026,P00043,AM-2025,2025-06-25T11:46:00,4,Asked about pricing
PROF2V50D1,M026,P00388,AM-2025,2025-06-25T09:42:00,3,Follow up after event
PROKQSTUC4,M026,P00296,AM-2025,2025-06-25T17:55:00,1,Wants case study
PROSGPZ1FK,M026,P00310,AM-2024,2025-06-25T19:43:00,2,Referred by current member
PROVICXEFY,M026,P00358,AM-2025,2025-06-25T10:10:00,1,Follow up after event
PROFCAA06A,M026,P00120,AM-2025,2025-06-25T11:33:00,4,Referred by current member
PROOLG3DWF,M026,P00029,AM-2024,2025-06-25T20:09:00,4,Wants to host a chapter event
PROH9JQX9T,M026,P00399,AM-2025,2025-06-25T10:59:00,4,Follow up after event
PROP9O6K4M,M026,P00176,AM-2025,2025-06-25T13:05:00,2,Considering upgrade to Enterprise
PROVNC9QFF,M026,P00035,AM-2024,2025-06-25T09:15:00,5,Follow up after event
PROFU81VKY,M026,P00128,AM-2025,2025-06-25T12:31:00,4,Wants case study
PROOV6VJ0F,M026,P00232,AM-2025,2025-06-25T10:49:00,5,Asked about pricing
PROUUQTGHV,M026,P00011,AM-2025,2025-06-25T15:53:00,3,Asked about pricing
PROSN3H7HR,M026,P00259,AM-2025,2025-06-25T19:52:00,1,Asked about pricing
PRO7GW89WL,M026,P00356,AM-2025,2025-06-25T10:48:00,3,Asked about pricing
PROXP4QFI2,M026,P00386,AM-2025,2025-06-25T09:59:00,1,Interested in demo
PROWYQXPVB,M026,P00003,AM-2025,2025-06-25T16:01:00,4,Interested in demo
PROUMW9QO3,M026,P00108,AM-2025,2025-06-25T11:58:00,3,Considering upgrade to Enterprise
PROF057SOM,M026,P00389,AM-2025,2025-06-25T11:12:00,4,Wants to host a chapter event
PROB46RQ8N,M026,P00375,AM-2025,2025-06-25T14:13:00,3,Wants to host a chapter event
PRO72S04YD,M026,P00260,AM-2025,2025-06-25T20:04:00,3,Requested member-only research
PROPXGIY9E,M026,P00286,AM-2024,2025-06-25T20:20:00,4,Interested in certification track
PROBFKYENW,M026,P00242,AM-2025,2025-06-25T10:34:00,3,Interested in demo
PROGUVTVNI,M026,P00066,AM-2024,2025-06-25T20:23:00,2,Wants to host a chapter event
PROX8JU3XA,M026,P00418,AM-2024,2025-06-25T17:43:00,3,Wants case study
PROHO9QTV4,M026,P00407,AM-2024,2025-06-25T16:46:00,5,Interested in demo
PROZOWKBRB,M026,P00410,AM-2025,2025-06-25T14:06:00,2,Interested in certification track
PRO8HFMQF3,M026,P00316,AM-2025,2025-06-25T11:41:00,3,Lapsed last year — re-engaging
PROJXER4AG,M026,P00357,AM-2024,2025-06-25T10:13:00,2,Interested in demo
PROYI6GR0V,M026,P00406,AM-2025,2025-06-25T10:07:00,5,
PROLOIZJZ6,M026,P00311,AM-2024,2025-06-25T10:27:00,3,Follow up after event
PRO123NZAZ,M026,P00082,AM-2025,2025-06-25T16:35:00,3,Wants case study
PROQZVWAIJ,M026,P00158,AM-2025,2025-06-25T21:00:00,5,Asked about pricing
PROW1WFJU1,M026,P00123,AM-2025,2025-06-25T16:09:00,3,Interested in demo
PROMLGOUD7,M026,P00093,AM-2025,2025-06-25T09:08:00,4,Asked about pricing
PROM7KAYN3,M026,P00292,AM-2025,2025-06-25T20:22:00,3,Wants case study
PROXYLHXUB,M026,P00111,AM-2025,2025-06-25T11:45:00,4,Requested member-only research
PRODSOK10C,M026,P00072,AM-2024,2025-06-25T19:11:00,3,Referred by current member
PROV9IHLIF,M026,P00350,AM-2024,2025-06-25T13:20:00,3,
PRO31B1WJA,M026,P00136,AM-2025,2025-06-25T11:17:00,4,Interested in demo
PRONGP9C37,M026,P00250,AM-2025,2025-06-25T15:49:00,2,Lapsed last year — re-engaging
PROBQG717N,M026,P00340,AM-2024,2025-06-25T19:47:00,3,Wants case study
PROXVZNRFE,M026,P00214,AM-2025,2025-06-25T12:08:00,2,Follow up after event
PROWHBZZGB,M026,P00197,AM-2025,2025-06-25T18:48:00,2,Follow up after event
