brief_id,client_id,candidate_id,cycle_id,received_at,priority_score,note
BR8B7Q10D,CL040,CD00306,CY-2025,2025-06-25T19:00:00,4,Wants longlist within 10 business days
BRLIP0YMP,CL040,CD00349,CY-2025,2025-06-25T12:09:00,1,Wants case study
BR1W9ZQVU,CL040,CD00060,CY-2025,2025-06-25T13:52:00,2,
BR238YSOZ,CL040,CD00174,CY-2025,2025-06-25T20:04:00,4,Wants longlist within 10 business days
BR0NKB2PO,CL040,CD00255,CY-2025,2025-06-25T09:54:00,4,Wants case study
BR6J01XVI,CL040,CD00378,CY-2025,2025-06-25T20:30:00,1,Wants case study
BR2QHEDEO,CL040,CD00409,CY-2024,2025-06-25T10:44:00,4,Existing client expanding mandate
BR6X9W51P,CL040,CD00138,CY-2025,2025-06-25T15:42:00,4,Follow up after event
BRHHYLDNQ,CL040,CD00215,CY-2025,2025-06-25T15:48:00,3,Asked about pricing
BRXPM5IYQ,CL040,CD00022,CY-2024,2025-06-25T12:44:00,1,Follow up after event
BR9DTSJDW,CL040,CD00005,CY-2024,2025-06-25T14:36:00,4,Asked about pricing
BRQ7MWVOP,CL040,CD00087,CY-2025,2025-06-25T16:14:00,1,Wants case study
BRTY8QVOQ,CL040,CD00212,CY-2024,2025-06-25T09:12:00,5,Asked about pricing
BRUCYS9RW,CL040,CD00229,CY-2025,2025-06-25T12:39:00,1,Hold for board meeting decision
BRUZNOMI2,CL040,CD00148,CY-2025,2025-06-25T09:41:00,1,Interested in demo
BRPATWKLN,CL040,CD00368,CY-2025,2025-06-25T13:28:00,4,Interested in demo
BR3DYGZBD,CL040,CD00183,CY-2024,2025-06-25T14:10:00,3,Wants case study
BR02VEEDS,CL040,CD00354,CY-2025,2025-06-25T12:52:00,1,Interested in demo
BRJG5NU3Y,CL040,CD00013,CY-2025,2025-06-25T11:40:00,4,Wants case study
BR4L3XBNZ,CL040,CD00369,CY-2025,2025-06-25T18:17:00,4,Follow up after event
BR249M6A2,CL040,CD00226,CY-2024,2025-06-25T10:29:00,5,Asked for off-record candidate review
BRPCW2II1,CL040,CD00254,CY-2025,2025-06-25T18:01:00,3,Asked about pricing
BRL7JKQ53,CL040,CD00073,CY-2025,2025-06-25T15:34:00,3,Interested in demo
BRACNWFB4,CL040,CD00299,CY-2025,2025-06-25T12:10:00,2,Interested in demo
BRDCKUXKS,CL040,CD00364,CY-2024,2025-06-25T14:40:00,3,Asked for off-record candidate review
BRDWA7HTG,CL040,CD00304,CY-2025,2025-06-25T16:35:00,4,Asked for off-record candidate review
BRX249QTM,CL040,CD00282,CY-2024,2025-06-25T13:55:00,3,Wants case study
BRC0LVJZR,CL046,CD00175,CY-2025,2025-06-25T14:17:00,5,Existing client expanding mandate
BRAD6COYB,CL046,CD00126,CY-2025,2025-06-25T12:31:00,3,Interested in demo
BRPVVDS02,CL046,CD00204,CY-2024,2025-06-25T19:02:00,2,Follow up after event
BRGI2CD6D,CL046,CD00197,CY-2024,2025-06-25T14:57:00,4,Asked for off-record candidate review
BRE6ZZJQ8,CL046,CD00291,CY-2024,2025-06-25T10:46:00,3,Considering retained vs project
BRTYWXFU2,CL046,CD00227,CY-2024,2025-06-25T15:22:00,3,Requested benchmark comp data
BRFZI3C65,CL046,CD00257,CY-2025,2025-06-25T09:24:00,1,Inbound from referral
BR63K2UIY,CL046,CD00211,CY-2025,2025-06-25T16:04:00,3,Hot follow-up
BR4ZIPYNJ,CL046,CD00177,CY-2024,2025-06-25T17:59:00,2,Follow up after event
BRDJR99AX,CL046,CD00069,CY-2025,2025-06-25T11:21:00,3,Hot follow-up
BRUUGAN5X,CL046,CD00168,CY-2025,2025-06-25T10:21:00,4,Interested in demo
BR596Y8KT,CL046,CD00180,CY-2025,2025-06-25T18:29:00,5,Asked about pricing
BR6E0V5MQ,CL046,CD00327,CY-2024,2025-06-25T19:44:00,1,Interested in demo
BRT2IXC2R,CL046,CD00151,CY-2025,2025-06-25T15:44:00,4,Asked about pricing
BRAIP95ZJ,CL046,CD00091,CY-2025,2025-06-25T09:00:00,4,Interested in demo
BRNPZRLHQ,CL046,CD00132,CY-2025,2025-06-25T17:37:00,3,Asked for off-record candidate review
BRGQLMUHA,CL046,CD00106,CY-2024,2025-06-25T15:24:00,1,Asked about pricing
BREWCFATG,CL046,CD00191,CY-2024,2025-06-25T13:45:00,5,Follow up after event
BR6FY3QUL,CL046,CD00155,CY-2024,2025-06-25T14:55:00,2,Follow up after event
BRDX6L0SX,CL046,CD00316,CY-2025,2025-06-25T14:33:00,5,Hold for board meeting decision
BRQ6TW1W8,CL046,CD00410,CY-2025,2025-06-25T10:54:00,3,Follow up after event
BR0HY8S9Z,CL046,CD00419,CY-2025,2025-06-25T11:55:00,3,Inbound from referral
BRDRJOXWW,CL046,CD00406,CY-2025,2025-06-25T10:01:00,5,Wants case study
BRZ6WX50W,CL046,CD00261,CY-2025,2025-06-25T09:40:00,4,Existing client expanding mandate
BRT7B8INJ,CL046,CD00092,CY-2025,2025-06-25T10:24:00,3,Requested benchmark comp data
BRPQ4EMVP,CL046,CD00341,CY-2024,2025-06-25T16:03:00,3,Wants case study
BRPNBH94P,CL046,CD00272,CY-2024,2025-06-25T12:47:00,3,Wants case study
BRUSZV9G6,CL046,CD00359,CY-2024,2025-06-25T16:33:00,4,Existing client expanding mandate
BRKOU8I4X,CL046,CD00007,CY-2024,2025-06-25T11:26:00,4,Interested in demo
BRXLDC742,CL046,CD00334,CY-2025,2025-06-25T17:50:00,5,Interested in demo
BR8BKI4G1,CL046,CD00210,CY-2025,2025-06-25T12:20:00,2,Follow up after event
BR9EUJ1CY,CL046,CD00220,CY-2024,2025-06-25T13:23:00,5,Interested in demo
BR1IUK5XS,CL046,CD00098,CY-2024,2025-06-25T16:34:00,1,Asked about pricing
BRB6AG6O5,CL046,CD00051,CY-2025,2025-06-25T13:50:00,3,Inbound from referral
BREUFJMXF,CL046,CD00235,CY-2025,2025-06-25T17:26:00,2,Wants case study
BR4TUVJI0,CL046,CD00224,CY-2025,2025-06-25T09:40:00,5,Interested in demo
BR690ZMQO,CL046,CD00264,CY-2025,2025-06-25T15:42:00,5,Follow up after event
BRH8XB9ZG,CL046,CD00401,CY-2025,2025-06-25T19:11:00,4,Follow up after event
BRZOR7XE4,CL046,CD00018,CY-2025,2025-06-25T18:16:00,4,Asked about pricing
BR9TF9RF6,CL046,CD00356,CY-2024,2025-06-25T10:13:00,5,Interested in demo
BRGAE2VD5,CL046,CD00236,CY-2024,2025-06-25T11:57:00,5,Requested benchmark comp data
BRVV4D600,CL046,CD00336,CY-2025,2025-06-25T18:39:00,4,Wants case study
BRYLPKAWU,CL046,CD00384,CY-2025,2025-06-25T09:49:00,4,New stakeholder — needs intro call
BREE1C9KV,CL046,CD00329,CY-2025,2025-06-25T18:04:00,3,Wants longlist within 10 business days
BRVUUU9PL,CL046,CD00193,CY-2025,2025-06-25T19:49:00,4,Interested in demo
BRVHCHHAA,CL046,CD00292,CY-2025,2025-06-25T15:06:00,2,Follow up after event
BRA4NMZTL,CL046,CD00153,CY-2025,2025-06-25T11:33:00,2,Interested in demo
BRZ6BISJR,CL046,CD00052,CY-2025,2025-06-25T17:33:00,3,Asked about pricing
BREP3ET3U,CL046,CD00046,CY-2025,2025-06-25T14:55:00,5,
BR29KRQ4W,CL046,CD00249,CY-2025,2025-06-25T18:23:00,4,Wants case study
BRSQP7ZZO,CL046,CD00196,CY-2025,2025-06-25T14:10:00,3,Asked about pricing
BRSI6PO05,CL046,CD00360,CY-2025,2025-06-25T09:29:00,4,Asked about pricing
BRUS3KC7H,CL046,CD00325,CY-2025,2025-06-25T19:09:00,4,Interested in demo
BR0E8GDA3,CL046,CD00268,CY-2024,2025-06-25T13:08:00,4,Wants case study
BRL6Z9QF5,CL046,CD00242,CY-2024,2025-06-25T13:29:00,4,Interested in demo
BR40JIALW,CL046,CD00209,CY-2024,2025-06-25T15:55:00,1,Interested in demo
BRA4EGNKH,CL046,CD00053,CY-2024,2025-06-25T12:29:00,1,Follow up after event
BRETKUZIE,CL046,CD00214,CY-2025,2025-06-25T17:47:00,5,Asked about pricing
BR75T8B4X,CL046,CD00267,CY-2024,2025-06-25T18:35:00,5,Wants case study
BRE97PF6U,CL046,CD00311,CY-2024,2025-06-25T16:33:00,3,Requested benchmark comp data
BRVJIKOXO,CL046,CD00023,CY-2024,2025-06-25T11:38:00,3,Wants longlist within 10 business days
BRP2OJ6W0,CL046,CD00372,CY-2024,2025-06-25T17:55:00,4,Hold for board meeting decision
BR808MK54,CL046,CD00223,CY-2024,2025-06-25T10:26:00,4,Asked about pricing
BR14FIJOT,CL046,CD00049,CY-2024,2025-06-25T16:51:00,4,Asked for off-record candidate review
BRLEPYP77,CL046,CD00178,CY-2024,2025-06-25T17:11:00,4,Asked about pricing
BR9YN2KQY,CL046,CD00043,CY-2024,2025-06-25T13:17:00,3,Asked about pricing
BRVFXCSR1,CL046,CD00397,CY-2025,2025-06-25T16:05:00,5,Interested in demo
BRJQ1DFTU,CL046,CD00349,CY-2025,2025-06-25T10:37:00,4,Asked about pricing
BR379LXAM,CL046,CD00014,CY-2025,2025-06-25T20:40:00,5,Asked about pricing
BRE6T2HOM,CL046,CD00314,CY-2025,2025-06-25T13:14:00,5,Hot follow-up
BRTHGZ7HI,CL046,CD00277,CY-2025,2025-06-25T11:26:00,5,Follow up after event
BRIPIXIJP,CL046,CD00147,CY-2025,2025-06-25T11:53:00,3,Interested in demo
BRDAYBR6W,CL046,CD00202,CY-2025,2025-06-25T14:13:00,1,Asked about pricing
BRVSMGSOO,CL046,CD00042,CY-2024,2025-06-25T19:30:00,5,Existing client expanding mandate
BRSYR02QH,CL046,CD00084,CY-2025,2025-06-25T09:43:00,5,Hold for board meeting decision
BRNKDG6Q4,CL046,CD00238,CY-2024,2025-06-25T16:31:00,3,Asked for off-record candidate review
BRG2B27JD,CL046,CD00233,CY-2025,2025-06-25T16:10:00,3,Follow up after event
BRIBA7T58,CL046,CD00050,CY-2025,2025-06-25T13:03:00,1,Follow up after event
BRJGJ97MR,CL046,CD00382,CY-2025,2025-06-25T12:10:00,5,Asked about pricing
BRNIS7W5H,CL046,CD00309,CY-2024,2025-06-25T17:39:00,4,Inbound from referral
BRU23PYYP,CL046,CD00166,CY-2025,2025-06-25T17:52:00,4,Wants case study
BR59NYT4I,CL046,CD00013,CY-2025,2025-06-25T16:58:00,3,Asked about pricing
BR2ZADFV1,CL046,CD00354,CY-2024,2025-06-25T14:52:00,4,Wants longlist within 10 business days
BRVWPJMI3,CL046,CD00417,CY-2024,2025-06-25T15:30:00,2,Asked about pricing
BRTIKY57F,CL046,CD00399,CY-2025,2025-06-25T13:25:00,4,Interested in demo
BRGNZ6VFN,CL046,CD00134,CY-2025,2025-06-25T11:27:00,2,Interested in demo
BR29YY49N,CL046,CD00086,CY-2024,2025-06-25T14:06:00,3,Considering retained vs project
BRAX8WBB2,CL046,CD00400,CY-2024,2025-06-25T12:09:00,4,Asked about pricing
BR2K6OY0U,CL046,CD00310,CY-2024,2025-06-25T18:13:00,2,Wants case study
BR728JYHE,CL046,CD00391,CY-2025,2025-06-25T14:49:00,4,New stakeholder — needs intro call
BRKL791M3,CL046,CD00167,CY-2024,2025-06-25T10:07:00,3,Wants case study
BRCMI4Q4R,CL046,CD00005,CY-2024,2025-06-25T15:21:00,3,New stakeholder — needs intro call
BRDB5VU7H,CL053,CD00281,CY-2025,2025-06-25T11:37:00,3,Requested benchmark comp data
BRHD0Z9BZ,CL053,CD00360,CY-2024,2025-06-25T12:26:00,2,Wants longlist within 10 business days
BR4FRTVRZ,CL053,CD00402,CY-2024,2025-06-25T17:47:00,2,Hold for board meeting decision
BRGNKUK5Q,CL053,CD00244,CY-2025,2025-06-25T11:15:00,5,Considering retained vs project
BRQ742T1L,CL053,CD00195,CY-2024,2025-06-25T10:31:00,5,Follow up after event
BRMHX4GHS,CL053,CD00017,CY-2025,2025-06-25T12:29:00,5,Interested in demo
BR9APHFV8,CL053,CD00329,CY-2024,2025-06-25T17:01:00,5,Interested in demo
BRZ48LG6V,CL053,CD00001,CY-2025,2025-06-25T11:30:00,4,Wants case study
BREEENOX7,CL053,CD00098,CY-2025,2025-06-25T16:19:00,2,Asked for off-record candidate review
BRONJAJ02,CL053,CD00311,CY-2025,2025-06-25T20:42:00,1,Requested benchmark comp data
BROGI9VOT,CL053,CD00154,CY-2024,2025-06-25T17:24:00,2,Asked about pricing
BRPP66KQH,CL053,CD00202,CY-2025,2025-06-25T11:19:00,4,Asked about pricing
BRAQQAFRR,CL053,CD00242,CY-2024,2025-06-25T14:10:00,1,Existing client expanding mandate
BRLMDVHTZ,CL053,CD00328,CY-2025,2025-06-25T09:14:00,4,Asked about pricing
BR6O3I8WQ,CL053,CD00122,CY-2025,2025-06-25T13:20:00,4,Asked about pricing
BR33HY5U5,CL053,CD00214,CY-2025,2025-06-25T09:48:00,1,New stakeholder — needs intro call
BRDVQV552,CL053,CD00265,CY-2024,2025-06-25T13:48:00,3,Interested in demo
BRE4ZO4YS,CL053,CD00279,CY-2025,2025-06-25T09:19:00,4,Wants case study
BRY94I7QU,CL053,CD00258,CY-2025,2025-06-25T20:02:00,4,Interested in demo
BR56L6LYF,CL053,CD00045,CY-2025,2025-06-25T19:53:00,5,Follow up after event
BR9XN8E0X,CL053,CD00144,CY-2024,2025-06-25T09:17:00,1,Interested in demo
BRE9DWTE7,CL053,CD00379,CY-2025,2025-06-25T18:47:00,5,Asked about pricing
BRJFLBHRO,CL053,CD00117,CY-2025,2025-06-25T14:41:00,4,
BR6Y2JLM9,CL053,CD00342,CY-2025,2025-06-25T15:45:00,4,Asked about pricing
BRM0HB96L,CL053,CD00295,CY-2025,2025-06-25T13:50:00,4,New stakeholder — needs intro call
BRH25ZO47,CL053,CD00068,CY-2025,2025-06-25T12:08:00,3,Wants case study
BRG92O0KC,CL053,CD00327,CY-2025,2025-06-25T17:45:00,4,
BR7G4FSPJ,CL053,CD00142,CY-2025,2025-06-25T11:55:00,5,Existing client expanding mandate
BRQNGNTGL,CL053,CD00121,CY-2025,2025-06-25T17:59:00,5,Considering retained vs project
BRRMBSMER,CL053,CD00313,CY-2025,2025-06-25T19:30:00,5,Interested in demo
BRV2X6QLP,CL053,CD00318,CY-2024,2025-06-25T17:57:00,4,Interested in demo
BRXOOSRJ7,CL053,CD00061,CY-2024,2025-06-25T09:59:00,5,Follow up after event
BR7ZQJZPL,CL053,CD00090,CY-2024,2025-06-25T10:59:00,2,Wants case study
BRZ1FHWE5,CL053,CD00167,CY-2025,2025-06-25T09:55:00,4,Follow up after event
BRKOAQFH0,CL053,CD00225,CY-2024,2025-06-25T19:56:00,3,Follow up after event
BR7IX509P,CL053,CD00193,CY-2025,2025-06-25T18:12:00,4,Requested benchmark comp data
BR8KYNKV8,CL053,CD00006,CY-2025,2025-06-25T09:58:00,4,Interested in demo
BRSEKE5C6,CL053,CD00134,CY-2025,2025-06-25T13:24:00,2,Interested in demo
BRBIB8T49,CL053,CD00128,CY-2024,2025-06-25T10:33:00,3,
BRAZ2N61R,CL053,CD00323,CY-2024,2025-06-25T13:47:00,4,Asked about pricing
BRCTSGTCK,CL053,CD00224,CY-2024,2025-06-25T20:25:00,3,Considering retained vs project
BRSE5H778,CL053,CD00300,CY-2025,2025-06-25T13:49:00,3,Follow up after event
BR6XAAOW9,CL053,CD00203,CY-2025,2025-06-25T17:02:00,5,Asked about pricing
BR3ATOC7X,CL053,CD00080,CY-2025,2025-06-25T19:57:00,3,Follow up after event
BRPJ0I2W0,CL053,CD00135,CY-2025,2025-06-25T19:52:00,5,Existing client expanding mandate
BRJSZA4CE,CL053,CD00363,CY-2024,2025-06-25T17:43:00,1,Hold for board meeting decision
BRZUT169S,CL053,CD00322,CY-2025,2025-06-25T09:12:00,3,Follow up after event
BR9PVD26P,CL053,CD00306,CY-2024,2025-06-25T18:22:00,1,Wants case study
BRA52GIVX,CL053,CD00024,CY-2025,2025-06-25T13:42:00,5,Existing client expanding mandate
BRVJSI50L,CL053,CD00177,CY-2025,2025-06-25T18:07:00,2,Hot follow-up
BRUCWWGU7,CL053,CD00410,CY-2025,2025-06-25T10:18:00,4,Wants case study
BRP2EZG1Z,CL053,CD00054,CY-2025,2025-06-25T19:17:00,2,Asked about pricing
BREBV6K8H,CL053,CD00023,CY-2024,2025-06-25T12:19:00,4,Asked for off-record candidate review
BRTWXOANS,CL053,CD00186,CY-2025,2025-06-25T19:44:00,5,Inbound from referral
BRXXM2E5R,CL053,CD00387,CY-2024,2025-06-25T16:44:00,3,Asked about pricing
BRT9ECVII,CL053,CD00266,CY-2024,2025-06-25T17:18:00,4,Wants case study
BRR4N0PG1,CL053,CD00247,CY-2025,2025-06-25T12:20:00,5,Asked for off-record candidate review
BRAKNZGJ1,CL053,CD00370,CY-2025,2025-06-25T16:54:00,3,Existing client expanding mandate
BR0T5I9EV,CL053,CD00339,CY-2024,2025-06-25T18:48:00,4,Hold for board meeting decision
BRJIDKL3A,CL053,CD00283,CY-2025,2025-06-25T17:34:00,3,Wants case study
BRLXRC3HW,CL053,CD00175,CY-2024,2025-06-25T11:47:00,4,Requested benchmark comp data
BRUZT9ZTE,CL053,CD00105,CY-2025,2025-06-25T17:01:00,3,Asked for off-record candidate review
BR0QS5QWR,CL053,CD00419,CY-2024,2025-06-25T16:13:00,5,Asked about pricing
BRVL5YAHJ,CL053,CD00345,CY-2024,2025-06-25T10:40:00,2,Requested benchmark comp data
BRV7Y8LGF,CL053,CD00228,CY-2025,2025-06-25T16:46:00,3,Asked for off-record candidate review
BRCVD44KF,CL053,CD00055,CY-2024,2025-06-25T17:45:00,3,Follow up after event
BRUL8DWI7,CL053,CD00317,CY-2024,2025-06-25T11:37:00,3,Interested in demo
BR0SXLQTP,CL053,CD00199,CY-2025,2025-06-25T16:35:00,2,Interested in demo
BR904KCIR,CL053,CD00156,CY-2024,2025-06-25T10:29:00,3,Follow up after event
BR2NSRE1P,CL053,CD00059,CY-2025,2025-06-25T18:11:00,2,Wants case study
BR0SP82U9,CL053,CD00399,CY-2025,2025-06-25T11:32:00,3,Wants case study
BRH003AFI,CL053,CD00012,CY-2025,2025-06-25T20:46:00,3,Wants case study
BRBF9C75J,CL053,CD00070,CY-2024,2025-06-25T17:31:00,5,Inbound from referral
BRRMPA8XS,CL053,CD00240,CY-2025,2025-06-25T20:50:00,2,Follow up after event
BRHQPGOCZ,CL053,CD00140,CY-2025,2025-06-25T14:29:00,2,Wants case study
BR9G28Y6H,CL053,CD00038,CY-2025,2025-06-25T20:57:00,5,Interested in demo
BR5C4GTZ7,CL053,CD00102,CY-2025,2025-06-25T16:25:00,3,New stakeholder — needs intro call
BRB7OS8GB,CL053,CD00094,CY-2025,2025-06-25T10:20:00,1,Wants longlist within 10 business days
BRI4DYKBG,CL053,CD00096,CY-2025,2025-06-25T11:40:00,1,Asked about pricing
BRF7BXTV7,CL053,CD00369,CY-2024,2025-06-25T12:52:00,5,Asked about pricing
BRU3J9ZQH,CL053,CD00394,CY-2025,2025-06-25T17:21:00,2,Wants case study
BRLGE5DH6,CL053,CD00340,CY-2025,2025-06-25T18:13:00,3,Existing client expanding mandate
BRMMZMNI6,CL053,CD00235,CY-2024,2025-06-25T17:15:00,4,Hold for board meeting decision
BRJ040LUL,CL026,CD00065,CY-2025,2025-06-25T18:22:00,2,Wants case study
BR8L5535O,CL026,CD00112,CY-2025,2025-06-25T19:32:00,5,Wants case study
BRPIRKN2L,CL026,CD00153,CY-2025,2025-06-25T15:22:00,3,Wants case study
BR5JKTQE8,CL026,CD00405,CY-2025,2025-06-25T18:28:00,1,Asked about pricing
BRQ3RJO8I,CL026,CD00117,CY-2024,2025-06-25T17:36:00,2,Interested in demo
BRA47DMHT,CL026,CD00051,CY-2025,2025-06-25T20:01:00,4,Follow up after event
BRGFLQMJC,CL026,CD00187,CY-2025,2025-06-25T18:56:00,5,Asked about pricing
BRIB4GK9J,CL026,CD00119,CY-2024,2025-06-25T20:29:00,2,Interested in demo
BRF75RBYO,CL026,CD00106,CY-2025,2025-06-25T15:46:00,5,Wants case study
BRJFXSP1S,CL026,CD00208,CY-2025,2025-06-25T11:45:00,2,Interested in demo
BRW7QKQN7,CL026,CD00303,CY-2024,2025-06-25T19:07:00,1,Existing client expanding mandate
BRHRXCDQD,CL026,CD00083,CY-2025,2025-06-25T13:39:00,4,Asked about pricing
BRTAEH22D,CL026,CD00043,CY-2025,2025-06-25T11:46:00,4,Asked about pricing
BRF2V50D1,CL026,CD00388,CY-2025,2025-06-25T09:42:00,3,Follow up after event
BRKQSTUC4,CL026,CD00296,CY-2025,2025-06-25T17:55:00,1,Wants case study
BRSGPZ1FK,CL026,CD00310,CY-2024,2025-06-25T19:43:00,2,Inbound from referral
BRVICXEFY,CL026,CD00358,CY-2025,2025-06-25T10:10:00,1,Follow up after event
BRFCAA06A,CL026,CD00120,CY-2025,2025-06-25T11:33:00,4,Considering retained vs project
BROLG3DWF,CL026,CD00029,CY-2024,2025-06-25T20:09:00,4,Asked for off-record candidate review
BRH9JQX9T,CL026,CD00399,CY-2025,2025-06-25T10:59:00,4,Follow up after event
BRP9O6K4M,CL026,CD00176,CY-2025,2025-06-25T13:05:00,2,Hot follow-up
BRVNC9QFF,CL026,CD00035,CY-2024,2025-06-25T09:15:00,5,Follow up after event
BRFU81VKY,CL026,CD00128,CY-2025,2025-06-25T12:31:00,4,Wants case study
BROV6VJ0F,CL026,CD00232,CY-2025,2025-06-25T10:49:00,5,Asked about pricing
BRUUQTGHV,CL026,CD00011,CY-2025,2025-06-25T15:53:00,3,Asked about pricing
BRSN3H7HR,CL026,CD00259,CY-2025,2025-06-25T19:52:00,1,Asked about pricing
BR7GW89WL,CL026,CD00356,CY-2025,2025-06-25T10:48:00,3,Asked about pricing
BRXP4QFI2,CL026,CD00386,CY-2025,2025-06-25T09:59:00,1,Interested in demo
BRWYQXPVB,CL026,CD00003,CY-2025,2025-06-25T16:01:00,4,Interested in demo
BRUMW9QO3,CL026,CD00108,CY-2025,2025-06-25T11:58:00,3,New stakeholder — needs intro call
BRF057SOM,CL026,CD00389,CY-2025,2025-06-25T11:12:00,4,Wants longlist within 10 business days
BRB46RQ8N,CL026,CD00375,CY-2025,2025-06-25T14:13:00,3,Asked for off-record candidate review
BR72S04YD,CL026,CD00260,CY-2025,2025-06-25T20:04:00,3,Existing client expanding mandate
BRPXGIY9E,CL026,CD00286,CY-2024,2025-06-25T20:20:00,4,Hold for board meeting decision
BRBFKYENW,CL026,CD00242,CY-2025,2025-06-25T10:34:00,3,Interested in demo
BRGUVTVNI,CL026,CD00066,CY-2024,2025-06-25T20:23:00,2,Inbound from referral
BRX8JU3XA,CL026,CD00418,CY-2024,2025-06-25T17:43:00,3,Wants case study
BRHO9QTV4,CL026,CD00407,CY-2024,2025-06-25T16:46:00,5,Interested in demo
BRZOWKBRB,CL026,CD00410,CY-2025,2025-06-25T14:06:00,2,Requested benchmark comp data
BR8HFMQF3,CL026,CD00316,CY-2025,2025-06-25T11:41:00,3,Considering retained vs project
BRJXER4AG,CL026,CD00357,CY-2024,2025-06-25T10:13:00,2,Interested in demo
BRYI6GR0V,CL026,CD00406,CY-2025,2025-06-25T10:07:00,5,Wants longlist within 10 business days
BRLOIZJZ6,CL026,CD00311,CY-2024,2025-06-25T10:27:00,3,Follow up after event
