cycle_id,candidate_id,search_id,advanced_to_next_stage,stage_score,consultant_note
CY-2025,CD00408,SR2025-01,True,5,Lost out at final stage — wants to stay in touch.
CY-2025,CD00408,SR2025-13,True,5,Too salesy.
CY-2025,CD00408,SR2025-04,True,5,More examples needed.
CY-2025,CD00261,SR2025-08,True,4,Strong speakers.
CY-2025,CD00261,SR2025-14,True,5,Loved the case study.
CY-2025,CD00261,SR2025-19,True,4,Wants equity component.
CY-2025,CD00261,SR2025-13,True,5,Great insights on AI.
CY-2025,CD00261,SR2025-03,True,2,Lost out at final stage — wants to stay in touch.
CY-2025,CD00261,SR2025-18,True,5,Fit for international remit.
CY-2025,CD00261,SR2025-04,True,4,Good moderation.
CY-2025,CD00261,SR2025-02,True,4,
CY-2024,CD00138,SR2024-02,True,5,Good moderation.
CY-2024,CD00138,SR2024-05,True,5,Good moderation.
CY-2024,CD00138,SR2024-20,True,5,More examples needed.
CY-2024,CD00138,SR2024-17,True,5,More examples needed.
CY-2024,CD00138,SR2024-08,True,4,Very practical.
CY-2025,CD00134,SR2025-12,True,5,Strong speakers.
CY-2025,CD00134,SR2025-05,True,3,Loved the case study.
CY-2025,CD00134,SR2025-11,True,5,Great insights on AI.
CY-2025,CD00134,SR2025-15,True,3,
CY-2025,CD00134,SR2025-06,True,4,Strong speakers.
CY-2025,CD00134,SR2025-19,True,5,Very practical.
CY-2025,CD00418,SR2025-08,True,4,Loved the case study.
CY-2025,CD00418,SR2025-16,True,2,Fit for international remit.
CY-2025,CD00418,SR2025-10,True,4,
CY-2025,CD00418,SR2025-19,True,3,Strong track record in PE-backed scale-ups.
CY-2025,CD00418,SR2025-18,True,1,Very practical.
CY-2025,CD00418,SR2025-12,True,4,"Strong commercial instinct, less operational depth."
CY-2025,CD00418,SR2025-01,True,2,
CY-2025,CD00418,SR2025-17,True,5,Lost out at final stage — wants to stay in touch.
CY-2025,CD00187,SR2025-06,True,2,Great insights on AI.
CY-2025,CD00187,SR2025-01,True,5,Standout cultural fit for the client.
CY-2025,CD00187,SR2025-18,True,3,Strong speakers.
CY-2025,CD00187,SR2025-09,True,4,Very practical.
CY-2025,CD00187,SR2025-12,True,3,Too salesy.
CY-2025,CD00187,SR2025-13,True,1,Excellent peer references.
CY-2025,CD00187,SR2025-07,True,3,More examples needed.
CY-2024,CD00113,SR2024-12,True,4,Strong speakers.
CY-2024,CD00113,SR2024-11,True,4,Good moderation.
CY-2024,CD00113,SR2024-21,True,5,Great insights on AI.
CY-2024,CD00113,SR2024-05,True,5,Excellent peer references.
CY-2024,CD00113,SR2024-01,True,5,Very practical.
CY-2024,CD00113,SR2024-17,True,4,Open to relocation.
CY-2025,CD00312,SR2025-15,True,3,Loved the case study.
CY-2025,CD00312,SR2025-07,True,4,Standout cultural fit for the client.
CY-2025,CD00312,SR2025-16,True,5,Standout cultural fit for the client.
CY-2025,CD00312,SR2025-05,True,4,Too salesy.
CY-2025,CD00312,SR2025-04,True,5,"Strong commercial instinct, less operational depth."
CY-2025,CD00312,SR2025-17,True,3,Good moderation.
CY-2025,CD00312,SR2025-22,True,3,Loved the case study.
CY-2024,CD00120,SR2024-07,True,3,Good moderation.
CY-2024,CD00120,SR2024-21,True,1,Strong speakers.
CY-2024,CD00120,SR2024-20,True,4,Compensation expectation aligned.
CY-2024,CD00120,SR2024-13,True,4,Standout cultural fit for the client.
CY-2024,CD00120,SR2024-17,True,4,Lost out at final stage — wants to stay in touch.
CY-2024,CD00120,SR2024-03,True,4,Great insights on AI.
CY-2024,CD00120,SR2024-01,True,4,Too salesy.
CY-2024,CD00120,SR2024-04,True,4,Strong track record in PE-backed scale-ups.
CY-2024,CD00120,SR2024-14,True,4,Very practical.
CY-2025,CD00214,SR2025-13,True,3,Strong speakers.
CY-2025,CD00214,SR2025-09,True,2,More examples needed.
CY-2025,CD00214,SR2025-07,True,5,More examples needed.
CY-2025,CD00214,SR2025-21,True,4,Lost out at final stage — wants to stay in touch.
CY-2025,CD00214,SR2025-22,True,5,More examples needed.
CY-2025,CD00214,SR2025-04,True,1,Loved the case study.
CY-2025,CD00214,SR2025-14,True,2,Standout cultural fit for the client.
CY-2025,CD00214,SR2025-17,True,5,Standout cultural fit for the client.
CY-2025,CD00096,SR2025-09,True,3,Very practical.
CY-2025,CD00096,SR2025-05,True,4,Great insights on AI.
CY-2025,CD00096,SR2025-21,True,5,Loved the case study.
CY-2025,CD00096,SR2025-22,True,4,Standout cultural fit for the client.
CY-2025,CD00096,SR2025-17,True,3,Very practical.
CY-2025,CD00032,SR2025-06,True,4,Too salesy.
CY-2025,CD00032,SR2025-05,True,4,Too salesy.
CY-2025,CD00032,SR2025-13,True,5,Fit for international remit.
CY-2025,CD00032,SR2025-03,True,4,Very practical.
CY-2025,CD00032,SR2025-16,True,5,"Strong commercial instinct, less operational depth."
CY-2025,CD00034,SR2025-17,True,5,Good moderation.
CY-2025,CD00034,SR2025-01,True,2,More examples needed.
CY-2025,CD00034,SR2025-21,True,3,Loved the case study.
CY-2025,CD00034,SR2025-04,True,4,Too salesy.
CY-2025,CD00034,SR2025-03,True,4,Too salesy.
CY-2025,CD00034,SR2025-19,True,5,More examples needed.
CY-2025,CD00034,SR2025-12,True,4,Good moderation.
CY-2025,CD00034,SR2025-22,True,4,More examples needed.
CY-2025,CD00370,SR2025-18,True,3,Good moderation.
CY-2025,CD00370,SR2025-06,True,4,More examples needed.
CY-2025,CD00370,SR2025-22,True,5,Great insights on AI.
CY-2025,CD00370,SR2025-02,True,2,Very practical.
CY-2025,CD00370,SR2025-10,True,2,More examples needed.
CY-2025,CD00370,SR2025-07,True,4,Great insights on AI.
CY-2025,CD00370,SR2025-17,True,4,Very practical.
CY-2025,CD00370,SR2025-03,True,5,Fit for international remit.
CY-2024,CD00184,SR2024-14,True,3,Excellent peer references.
CY-2024,CD00184,SR2024-22,True,5,Great insights on AI.
CY-2024,CD00184,SR2024-09,True,4,Great insights on AI.
CY-2024,CD00184,SR2024-10,True,4,Too salesy.
CY-2024,CD00184,SR2024-21,True,5,Loved the case study.
CY-2024,CD00184,SR2024-20,True,4,Strong track record in PE-backed scale-ups.
CY-2024,CD00184,SR2024-16,True,4,Great insights on AI.
CY-2024,CD00190,SR2024-18,True,1,Excellent peer references.
CY-2024,CD00190,SR2024-10,True,4,Currently in another process — moving fast.
CY-2024,CD00190,SR2024-04,True,4,Great insights on AI.
CY-2024,CD00190,SR2024-16,True,2,Great insights on AI.
CY-2024,CD00190,SR2024-03,True,5,Too salesy.
CY-2025,CD00316,SR2025-17,True,3,Open to relocation.
CY-2025,CD00316,SR2025-09,True,5,Loved the case study.
CY-2025,CD00316,SR2025-22,True,4,
CY-2025,CD00316,SR2025-11,True,3,Too salesy.
CY-2025,CD00316,SR2025-13,True,4,Strong speakers.
CY-2025,CD00316,SR2025-05,True,3,
CY-2025,CD00316,SR2025-15,True,3,Too salesy.
CY-2025,CD00400,SR2025-11,True,5,More examples needed.
CY-2025,CD00400,SR2025-22,True,5,Too salesy.
CY-2025,CD00400,SR2025-14,True,5,More examples needed.
CY-2025,CD00400,SR2025-16,True,5,
CY-2025,CD00400,SR2025-01,True,3,Good moderation.
CY-2025,CD00400,SR2025-05,True,3,Great insights on AI.
CY-2025,CD00400,SR2025-17,True,1,Good moderation.
CY-2025,CD00400,SR2025-04,True,4,Good moderation.
CY-2025,CD00400,SR2025-06,True,5,Loved the case study.
CY-2025,CD00400,SR2025-15,True,5,Lost out at final stage — wants to stay in touch.
CY-2025,CD00343,SR2025-19,True,5,Strong speakers.
CY-2025,CD00343,SR2025-20,True,2,Too salesy.
CY-2025,CD00343,SR2025-08,True,1,More examples needed.
CY-2025,CD00343,SR2025-11,True,4,Great insights on AI.
CY-2025,CD00343,SR2025-02,True,1,Strong speakers.
CY-2025,CD00343,SR2025-05,True,3,More examples needed.
CY-2025,CD00343,SR2025-03,True,5,Loved the case study.
CY-2025,CD00343,SR2025-15,True,4,Too salesy.
CY-2025,CD00343,SR2025-12,True,4,Very practical.
CY-2025,CD00004,SR2025-17,True,2,Great insights on AI.
CY-2025,CD00004,SR2025-08,True,3,Loved the case study.
CY-2025,CD00004,SR2025-21,True,5,Lost out at final stage — wants to stay in touch.
CY-2025,CD00004,SR2025-16,True,3,Very practical.
CY-2025,CD00004,SR2025-09,True,4,Great insights on AI.
CY-2025,CD00004,SR2025-06,True,3,Open to relocation.
CY-2025,CD00091,SR2025-17,True,4,Very practical.
CY-2025,CD00091,SR2025-09,True,4,Great insights on AI.
CY-2025,CD00091,SR2025-03,True,5,Wants equity component.
CY-2025,CD00091,SR2025-04,True,4,Great insights on AI.
CY-2025,CD00091,SR2025-19,True,5,Too salesy.
CY-2025,CD00091,SR2025-12,True,4,Strong speakers.
CY-2025,CD00091,SR2025-16,True,3,"Strong commercial instinct, less operational depth."
CY-2025,CD00296,SR2025-05,True,3,Great insights on AI.
CY-2025,CD00296,SR2025-02,True,3,Strong speakers.
CY-2025,CD00296,SR2025-06,True,2,Great insights on AI.
CY-2025,CD00296,SR2025-07,True,4,Fit for international remit.
CY-2025,CD00296,SR2025-16,True,1,Wants equity component.
CY-2025,CD00296,SR2025-22,True,4,More examples needed.
CY-2025,CD00296,SR2025-08,True,4,Strong speakers.
CY-2025,CD00064,SR2025-08,True,4,Standout cultural fit for the client.
CY-2025,CD00064,SR2025-17,True,3,Very practical.
CY-2025,CD00064,SR2025-20,True,4,Lost out at final stage — wants to stay in touch.
CY-2025,CD00064,SR2025-10,True,4,Good moderation.
CY-2025,CD00064,SR2025-04,True,4,Loved the case study.
CY-2025,CD00064,SR2025-19,True,5,Good moderation.
CY-2025,CD00064,SR2025-02,True,4,Great insights on AI.
CY-2025,CD00064,SR2025-05,True,5,
CY-2025,CD00064,SR2025-14,True,4,Great insights on AI.
CY-2025,CD00352,SR2025-05,True,4,Strong speakers.
CY-2025,CD00352,SR2025-07,True,4,Strong speakers.
CY-2025,CD00352,SR2025-18,True,5,Compensation expectation aligned.
CY-2025,CD00352,SR2025-12,True,4,Too salesy.
CY-2025,CD00079,SR2025-03,True,5,"Strong commercial instinct, less operational depth."
CY-2025,CD00079,SR2025-08,True,4,Strong track record in PE-backed scale-ups.
CY-2025,CD00079,SR2025-13,True,4,Very practical.
CY-2025,CD00079,SR2025-09,True,5,Loved the case study.
CY-2025,CD00079,SR2025-15,True,4,Very practical.
CY-2025,CD00079,SR2025-05,True,2,Great insights on AI.
CY-2025,CD00079,SR2025-19,True,5,Wants equity component.
CY-2025,CD00378,SR2025-11,True,2,Excellent peer references.
CY-2025,CD00378,SR2025-15,True,3,Currently in another process — moving fast.
CY-2025,CD00378,SR2025-17,True,4,Fit for international remit.
CY-2025,CD00378,SR2025-13,True,5,Strong speakers.
CY-2024,CD00415,SR2024-01,True,3,Excellent peer references.
CY-2024,CD00415,SR2024-20,True,3,Very practical.
CY-2024,CD00415,SR2024-16,True,4,Excellent peer references.
CY-2024,CD00415,SR2024-04,True,2,Very practical.
CY-2024,CD00415,SR2024-03,True,5,Very practical.
CY-2024,CD00415,SR2024-18,True,3,Compensation expectation aligned.
CY-2024,CD00415,SR2024-14,True,5,Too salesy.
CY-2025,CD00116,SR2025-21,True,3,Too salesy.
CY-2025,CD00116,SR2025-03,True,5,"Strong commercial instinct, less operational depth."
CY-2025,CD00116,SR2025-13,True,5,Currently in another process — moving fast.
CY-2025,CD00116,SR2025-17,True,3,Loved the case study.
CY-2024,CD00168,SR2024-18,True,5,Great insights on AI.
CY-2024,CD00168,SR2024-17,True,2,Too salesy.
CY-2024,CD00168,SR2024-04,True,4,"Strong commercial instinct, less operational depth."
CY-2024,CD00168,SR2024-16,True,2,Too salesy.
CY-2024,CD00168,SR2024-19,True,1,Wants equity component.
CY-2024,CD00336,SR2024-13,True,5,Very practical.
CY-2024,CD00336,SR2024-04,True,5,Strong speakers.
CY-2024,CD00336,SR2024-11,True,4,Good moderation.
CY-2024,CD00336,SR2024-02,True,5,Loved the case study.
CY-2025,CD00307,SR2025-11,True,1,Great insights on AI.
CY-2025,CD00307,SR2025-12,True,4,Very practical.
CY-2025,CD00307,SR2025-04,True,4,Good moderation.
CY-2025,CD00307,SR2025-21,True,3,Great insights on AI.
CY-2025,CD00234,SR2025-07,True,4,Open to relocation.
CY-2025,CD00234,SR2025-05,True,4,Good moderation.
CY-2025,CD00234,SR2025-01,True,5,
CY-2025,CD00234,SR2025-20,True,3,Wants equity component.
CY-2025,CD00242,SR2025-06,True,5,"Strong commercial instinct, less operational depth."
CY-2025,CD00242,SR2025-09,True,2,Wants equity component.
CY-2025,CD00242,SR2025-19,True,4,Too salesy.
CY-2025,CD00242,SR2025-07,True,2,Very practical.
CY-2024,CD00358,SR2024-20,True,2,Excellent peer references.
CY-2024,CD00358,SR2024-01,True,4,Very practical.
CY-2024,CD00358,SR2024-06,True,3,Wants equity component.
CY-2024,CD00358,SR2024-07,True,2,Wants equity component.
CY-2024,CD00358,SR2024-14,True,4,"Strong commercial instinct, less operational depth."
CY-2024,CD00358,SR2024-17,True,4,Excellent peer references.
CY-2024,CD00358,SR2024-02,True,2,Strong speakers.
CY-2024,CD00358,SR2024-16,True,5,Strong speakers.
CY-2025,CD00391,SR2025-13,True,5,Great insights on AI.
CY-2025,CD00391,SR2025-18,True,4,Currently in another process — moving fast.
CY-2025,CD00391,SR2025-22,True,4,Too salesy.
CY-2025,CD00391,SR2025-12,True,5,More examples needed.
CY-2025,CD00391,SR2025-16,True,4,Great insights on AI.
CY-2025,CD00391,SR2025-02,True,4,Good moderation.
CY-2025,CD00391,SR2025-08,True,5,More examples needed.
CY-2025,CD00391,SR2025-17,True,5,Good moderation.
CY-2025,CD00391,SR2025-10,True,2,More examples needed.
CY-2025,CD00398,SR2025-02,True,3,Strong track record in PE-backed scale-ups.
CY-2025,CD00398,SR2025-19,True,2,Excellent peer references.
CY-2025,CD00398,SR2025-11,True,5,Loved the case study.
CY-2025,CD00398,SR2025-16,True,4,Strong speakers.
CY-2025,CD00398,SR2025-01,True,4,Too salesy.
CY-2025,CD00248,SR2025-20,True,3,Loved the case study.
CY-2025,CD00248,SR2025-16,True,4,Strong track record in PE-backed scale-ups.
CY-2025,CD00248,SR2025-15,True,2,Loved the case study.
CY-2025,CD00248,SR2025-03,True,5,Very practical.
CY-2025,CD00248,SR2025-10,True,4,More examples needed.
CY-2025,CD00248,SR2025-04,True,5,Great insights on AI.
CY-2025,CD00248,SR2025-09,True,4,Very practical.
CY-2025,CD00248,SR2025-19,True,2,Too salesy.
CY-2025,CD00067,SR2025-09,True,5,"Strong commercial instinct, less operational depth."
CY-2025,CD00067,SR2025-05,True,4,Good moderation.
CY-2025,CD00067,SR2025-10,True,4,Good moderation.
CY-2025,CD00067,SR2025-12,True,4,Standout cultural fit for the client.
CY-2025,CD00067,SR2025-08,True,3,Excellent peer references.
CY-2025,CD00067,SR2025-20,True,3,Strong speakers.
CY-2025,CD00150,SR2025-20,True,4,Too salesy.
CY-2025,CD00150,SR2025-15,True,5,Very practical.
CY-2025,CD00150,SR2025-09,True,4,Standout cultural fit for the client.
CY-2025,CD00150,SR2025-10,True,3,Great insights on AI.
CY-2025,CD00150,SR2025-06,True,5,Good moderation.
CY-2025,CD00150,SR2025-13,True,3,Compensation expectation aligned.
CY-2025,CD00113,SR2025-07,True,4,Strong speakers.
CY-2025,CD00113,SR2025-17,True,4,Good moderation.
CY-2025,CD00113,SR2025-09,True,2,Great insights on AI.
CY-2025,CD00113,SR2025-02,True,2,Great insights on AI.
CY-2025,CD00221,SR2025-14,True,4,Open to relocation.
CY-2025,CD00221,SR2025-16,True,5,Great insights on AI.
CY-2025,CD00221,SR2025-01,True,1,More examples needed.
CY-2025,CD00221,SR2025-17,True,5,
CY-2025,CD00221,SR2025-12,True,4,Too salesy.
CY-2025,CD00221,SR2025-10,True,4,Too salesy.
CY-2025,CD00221,SR2025-02,True,1,Very practical.
CY-2025,CD00221,SR2025-08,True,5,Compensation expectation aligned.
CY-2025,CD00100,SR2025-01,True,5,More examples needed.
CY-2025,CD00100,SR2025-17,True,5,
CY-2025,CD00100,SR2025-18,True,3,Too salesy.
CY-2025,CD00100,SR2025-16,True,5,More examples needed.
CY-2025,CD00100,SR2025-12,True,5,Good moderation.
CY-2025,CD00100,SR2025-08,True,4,Compensation expectation aligned.
CY-2025,CD00100,SR2025-06,True,4,Good moderation.
CY-2025,CD00100,SR2025-02,True,1,Loved the case study.
CY-2025,CD00016,SR2025-02,True,5,"Strong commercial instinct, less operational depth."
CY-2025,CD00016,SR2025-13,True,4,Good moderation.
CY-2025,CD00016,SR2025-15,True,5,
CY-2025,CD00016,SR2025-17,True,5,Fit for international remit.
CY-2025,CD00383,SR2025-04,True,2,Strong speakers.
CY-2025,CD00383,SR2025-03,True,4,Great insights on AI.
CY-2025,CD00383,SR2025-18,True,5,More examples needed.
CY-2025,CD00383,SR2025-06,True,4,Too salesy.
CY-2025,CD00383,SR2025-07,True,5,Wants equity component.
CY-2025,CD00383,SR2025-21,True,5,Open to relocation.
CY-2025,CD00200,SR2025-19,True,5,Fit for international remit.
CY-2025,CD00200,SR2025-12,True,4,Too salesy.
CY-2025,CD00200,SR2025-01,True,4,Standout cultural fit for the client.
CY-2025,CD00200,SR2025-04,True,4,Great insights on AI.
CY-2025,CD00200,SR2025-03,True,4,Compensation expectation aligned.
CY-2025,CD00200,SR2025-15,True,4,Very practical.
CY-2025,CD00200,SR2025-22,True,4,Compensation expectation aligned.
CY-2025,CD00200,SR2025-10,True,3,Standout cultural fit for the client.
CY-2025,CD00200,SR2025-17,True,3,Standout cultural fit for the client.
CY-2025,CD00200,SR2025-06,True,5,Good moderation.
CY-2024,CD00374,SR2024-13,True,2,Loved the case study.
CY-2024,CD00374,SR2024-12,True,5,Too salesy.
CY-2024,CD00374,SR2024-16,True,1,Strong speakers.
CY-2024,CD00374,SR2024-03,True,4,Strong speakers.
CY-2024,CD00374,SR2024-11,True,5,Very practical.
CY-2024,CD00374,SR2024-06,True,5,Great insights on AI.
CY-2024,CD00374,SR2024-05,True,3,Good moderation.
CY-2024,CD00374,SR2024-08,True,5,Strong speakers.
CY-2025,CD00098,SR2025-10,True,4,Too salesy.
CY-2025,CD00098,SR2025-18,True,2,More examples needed.
CY-2025,CD00098,SR2025-08,True,1,Fit for international remit.
CY-2025,CD00098,SR2025-06,True,4,Strong speakers.
CY-2025,CD00098,SR2025-19,True,5,Great insights on AI.
CY-2025,CD00098,SR2025-22,True,5,Fit for international remit.
CY-2025,CD00098,SR2025-16,True,4,Strong speakers.
CY-2025,CD00093,SR2025-21,True,4,Strong track record in PE-backed scale-ups.
CY-2025,CD00093,SR2025-10,True,4,Good moderation.
CY-2025,CD00093,SR2025-04,True,4,More examples needed.
CY-2025,CD00093,SR2025-03,True,4,Great insights on AI.
CY-2025,CD00093,SR2025-20,True,5,Very practical.
CY-2025,CD00093,SR2025-16,True,5,Loved the case study.
CY-2025,CD00093,SR2025-05,True,4,Good moderation.
CY-2025,CD00093,SR2025-14,True,4,Lost out at final stage — wants to stay in touch.
CY-2025,CD00093,SR2025-13,True,4,Open to relocation.
CY-2025,CD00093,SR2025-06,True,4,Great insights on AI.
CY-2024,CD00044,SR2024-22,True,4,Great insights on AI.
CY-2024,CD00044,SR2024-10,True,5,Great insights on AI.
CY-2024,CD00044,SR2024-04,True,5,Wants equity component.
CY-2024,CD00044,SR2024-19,True,1,More examples needed.
CY-2024,CD00044,SR2024-17,True,4,Loved the case study.
CY-2025,CD00003,SR2025-01,True,4,Lost out at final stage — wants to stay in touch.
CY-2025,CD00003,SR2025-12,True,3,Great insights on AI.
CY-2025,CD00003,SR2025-13,True,5,Very practical.
CY-2025,CD00003,SR2025-02,True,3,Strong speakers.
CY-2025,CD00003,SR2025-09,True,5,Great insights on AI.
CY-2025,CD00003,SR2025-17,True,3,Fit for international remit.
CY-2025,CD00003,SR2025-03,True,4,Fit for international remit.
CY-2025,CD00003,SR2025-11,True,3,Good moderation.
CY-2025,CD00003,SR2025-06,True,4,Strong speakers.
CY-2025,CD00254,SR2025-18,True,5,Too salesy.
CY-2025,CD00254,SR2025-08,True,4,Loved the case study.
CY-2025,CD00254,SR2025-09,True,5,Strong track record in PE-backed scale-ups.
CY-2025,CD00254,SR2025-01,True,4,Good moderation.
CY-2025,CD00254,SR2025-14,True,4,Strong speakers.
CY-2025,CD00254,SR2025-12,True,4,Great insights on AI.
CY-2025,CD00015,SR2025-18,True,4,Open to relocation.
CY-2025,CD00015,SR2025-17,True,5,Loved the case study.
CY-2025,CD00015,SR2025-15,True,5,Open to relocation.
CY-2025,CD00015,SR2025-03,True,5,Great insights on AI.
CY-2025,CD00015,SR2025-02,True,5,Strong speakers.
CY-2025,CD00015,SR2025-12,True,5,Very practical.
CY-2025,CD00015,SR2025-19,True,4,Currently in another process — moving fast.
CY-2024,CD00317,SR2024-01,True,4,Excellent peer references.
CY-2024,CD00317,SR2024-20,True,4,Lost out at final stage — wants to stay in touch.
CY-2024,CD00317,SR2024-11,True,4,Too salesy.
CY-2024,CD00317,SR2024-09,True,1,Strong speakers.
CY-2024,CD00317,SR2024-17,True,3,Excellent peer references.
CY-2024,CD00317,SR2024-07,True,3,Loved the case study.
CY-2025,CD00246,SR2025-04,True,4,Very practical.
CY-2025,CD00246,SR2025-15,True,4,More examples needed.
CY-2025,CD00246,SR2025-08,True,5,More examples needed.
CY-2025,CD00246,SR2025-12,True,3,Strong speakers.
CY-2025,CD00246,SR2025-09,True,3,Good moderation.
CY-2025,CD00246,SR2025-02,True,4,Too salesy.
CY-2025,CD00246,SR2025-20,True,4,Loved the case study.
CY-2025,CD00246,SR2025-17,True,5,Too salesy.
CY-2025,CD00102,SR2025-11,True,3,Too salesy.
CY-2025,CD00102,SR2025-07,True,4,Loved the case study.
CY-2025,CD00102,SR2025-01,True,4,Great insights on AI.
CY-2025,CD00102,SR2025-18,True,4,
CY-2025,CD00102,SR2025-03,True,4,Very practical.
CY-2025,CD00102,SR2025-16,True,4,Good moderation.
CY-2025,CD00102,SR2025-19,True,5,Very practical.
CY-2025,CD00102,SR2025-04,True,2,Compensation expectation aligned.
CY-2025,CD00345,SR2025-18,True,2,"Strong commercial instinct, less operational depth."
CY-2025,CD00345,SR2025-17,True,5,Too salesy.
CY-2025,CD00345,SR2025-21,True,4,Very practical.
CY-2025,CD00345,SR2025-06,True,4,Loved the case study.
CY-2025,CD00345,SR2025-05,True,3,Great insights on AI.
CY-2025,CD00345,SR2025-12,True,4,Loved the case study.
CY-2025,CD00080,SR2025-11,True,5,Great insights on AI.
CY-2025,CD00080,SR2025-03,True,4,Loved the case study.
CY-2025,CD00080,SR2025-16,True,4,"Strong commercial instinct, less operational depth."
CY-2025,CD00080,SR2025-07,True,3,Open to relocation.
CY-2025,CD00080,SR2025-10,True,3,Wants equity component.
